"product_key","product_name","brand","subcategory","category","order_count","units_sold","revenue_usd","cost_usd","profit_usd","profit_margin"
"1","Contoso 512MB MP3 Player E51 Silver","Contoso","MP4&MP3","Audio","23","65","844.35","430.30","414.05","0.4904"
"2","Contoso 512MB MP3 Player E51 Blue","Contoso","MP4&MP3","Audio","23","77","1000.23","509.74","490.49","0.4904"
"3","Contoso 1G MP3 Player E100 White","Contoso","MP4&MP3","Audio","27","80","1161.60","592.00","569.60","0.4904"
"4","Contoso 2G MP3 Player E200 Silver","Contoso","MP4&MP3","Audio","27","74","1596.18","814.00","782.18","0.4900"
"5","Contoso 2G MP3 Player E200 Red","Contoso","MP4&MP3","Audio","17","49","1056.93","539.00","517.93","0.4900"
"6","Contoso 2G MP3 Player E200 Black","Contoso","MP4&MP3","Audio","21","58","1251.06","638.00","613.06","0.4900"
"7","Contoso 2G MP3 Player E200 Blue","Contoso","MP4&MP3","Audio","27","101","2178.57","1111.00","1067.57","0.4900"
"8","Contoso 4G MP3 Player E400 Silver","Contoso","MP4&MP3","Audio","23","55","3299.45","1681.90","1617.55","0.4902"
"9","Contoso 4G MP3 Player E400 Black","Contoso","MP4&MP3","Audio","20","59","3539.41","1804.22","1735.19","0.4902"
"10","Contoso 4G MP3 Player E400 Green","Contoso","MP4&MP3","Audio","35","108","6478.92","3302.64","3176.28","0.4902"
"11","Contoso 4G MP3 Player E400 Orange","Contoso","MP4&MP3","Audio","27","67","4019.33","2048.86","1970.47","0.4902"
"12","Contoso 4GB Flash MP3 Player E401 Blue","Contoso","MP4&MP3","Audio","18","46","3573.28","1643.12","1930.16","0.5402"
"13","Contoso 4GB Flash MP3 Player E401 Black","Contoso","MP4&MP3","Audio","21","71","5515.28","2536.12","2979.16","0.5402"
"14","Contoso 4GB Flash MP3 Player E401 Silver","Contoso","MP4&MP3","Audio","24","60","4660.80","2143.20","2517.60","0.5402"
"15","Contoso 4GB Flash MP3 Player E401 White","Contoso","MP4&MP3","Audio","26","101","7845.68","3607.72","4237.96","0.5402"
"16","Contoso 8GB Super-Slim MP3/Video Player M800 White","Contoso","MP4&MP3","Audio","21","43","4727.85","2174.08","2553.77","0.5402"
"17","Contoso 8GB Super-Slim MP3/Video Player M800 Red","Contoso","MP4&MP3","Audio","19","68","7476.60","3438.08","4038.52","0.5402"
"18","Contoso 8GB Super-Slim MP3/Video Player M800 Green","Contoso","MP4&MP3","Audio","33","108","11874.60","5460.48","6414.12","0.5402"
"19","Contoso 8GB Super-Slim MP3/Video Player M800 Pink","Contoso","MP4&MP3","Audio","19","52","5717.40","2629.12","3088.28","0.5402"
"20","Contoso 8GB MP3 Player new model M820 Black","Contoso","MP4&MP3","Audio","18","59","7906.00","3635.58","4270.42","0.5401"
"21","Contoso 8GB MP3 Player new model M820 Blue","Contoso","MP4&MP3","Audio","22","62","8308.00","3820.44","4487.56","0.5401"
"22","Contoso 8GB MP3 Player new model M820 Yellow","Contoso","MP4&MP3","Audio","19","56","7504.00","3450.72","4053.28","0.5401"
"23","Contoso 8GB MP3 Player new model M820 White","Contoso","MP4&MP3","Audio","29","73","9782.00","4498.26","5283.74","0.5401"
"24","Contoso 16GB Mp5 Player M1600 Blue","Contoso","MP4&MP3","Audio","27","92","18390.80","8457.56","9933.24","0.5401"
"25","Contoso 16GB Mp5 Player M1600 Black","Contoso","MP4&MP3","Audio","32","102","20389.80","9376.86","11012.94","0.5401"
"26","Contoso 16GB Mp5 Player M1600 Green","Contoso","MP4&MP3","Audio","22","60","11994.00","5515.80","6478.20","0.5401"
"27","Contoso 16GB Mp5 Player M1600 White","Contoso","MP4&MP3","Audio","20","66","13193.40","6067.38","7126.02","0.5401"
"28","Contoso 16GB Mp5 Player M1600 Red","Contoso","MP4&MP3","Audio","23","86","17191.40","7905.98","9285.42","0.5401"
"29","Contoso 32GB Video MP3 Player M3200 White","Contoso","MP4&MP3","Audio","30","90","22950.00","7604.10","15345.90","0.6687"
"30","Contoso 32GB Video MP3 Player M3200 Red","Contoso","MP4&MP3","Audio","24","69","17595.00","5829.81","11765.19","0.6687"
"31","Contoso 32GB Video MP3 Player M3200 Orange","Contoso","MP4&MP3","Audio","20","41","10455.00","3464.09","6990.91","0.6687"
"32","Contoso 32GB Video MP3 Player M3200 Pink","Contoso","MP4&MP3","Audio","28","94","23970.00","7942.06","16027.94","0.6687"
"33","Contoso 32GB Video MP3 Player M3200 Black","Contoso","MP4&MP3","Audio","23","87","22185.00","7350.63","14834.37","0.6687"
"34","Contoso 4GB Portable MP3 Player M450 Black","Contoso","MP4&MP3","Audio","25","100","9595.00","4892.00","4703.00","0.4902"
"35","Contoso 4GB Portable MP3 Player M450 White","Contoso","MP4&MP3","Audio","24","63","6044.85","3081.96","2962.89","0.4902"
"36","Contoso 4GB Portable MP3 Player M450 Yellow","Contoso","MP4&MP3","Audio","9","22","2110.90","1076.24","1034.66","0.4902"
"37","Contoso 8GB Clock & Radio MP3 Player X850 Silver","Contoso","MP4&MP3","Audio","19","55","16457.65","5452.70","11004.95","0.6687"
"38","Contoso 8GB Clock & Radio MP3 Player X850 Black","Contoso","MP4&MP3","Audio","15","50","14961.50","4957.00","10004.50","0.6687"
"39","Contoso 8GB Clock & Radio MP3 Player X850 Green","Contoso","MP4&MP3","Audio","33","107","32017.61","10607.98","21409.63","0.6687"
"40","Contoso 8GB Clock & Radio MP3 Player X850 Blue","Contoso","MP4&MP3","Audio","20","74","22143.02","7336.36","14806.66","0.6687"
"41","Contoso 16GB New Generation MP5 Player M1650 Silver","Contoso","MP4&MP3","Audio","28","74","17168.00","7895.06","9272.94","0.5401"
"42","Contoso 16GB New Generation MP5 Player M1650 White","Contoso","MP4&MP3","Audio","20","71","16472.00","7574.99","8897.01","0.5401"
"43","Contoso 16GB New Generation MP5 Player M1650 Black","Contoso","MP4&MP3","Audio","21","89","20648.00","9495.41","11152.59","0.5401"
"44","Contoso 16GB New Generation MP5 Player M1650 blue","Contoso","MP4&MP3","Audio","27","68","15776.00","7254.92","8521.08","0.5401"
"45","Contoso 16GB New Generation MP5 Player M1650 Pink","Contoso","MP4&MP3","Audio","23","68","15776.00","7254.92","8521.08","0.5401"
"46","WWI 1GB Pulse Smart pen E50 White","Wide World Importers","Recording Pen","Audio","102","317","47534.15","24234.65","23299.50","0.4902"
"47","WWI 1GBPulse Smart pen E50 Black","Wide World Importers","Recording Pen","Audio","101","309","46334.55","23623.05","22711.50","0.4902"
"48","WWI 1GB Pulse Smart pen E50 Silver","Wide World Importers","Recording Pen","Audio","111","355","53232.25","27139.75","26092.50","0.4902"
"49","WWI 2GB Pulse Smart pen M100 White","Wide World Importers","Recording Pen","Audio","99","318","63584.10","29240.10","34344.00","0.5401"
"50","WWI 2GB Pulse Smart pen M100 Black","Wide World Importers","Recording Pen","Audio","98","308","61584.60","28320.60","33264.00","0.5401"
"51","WWI 2GB Pulse Smart pen M100 Blue","Wide World Importers","Recording Pen","Audio","105","345","68982.75","31722.75","37260.00","0.5401"
"52","WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers","Recording Pen","Audio","79","217","43389.15","19953.15","23436.00","0.5401"
"53","WWI 4GB Video Recording Pen X200 Black","Wide World Importers","Recording Pen","Audio","115","366","108336.00","35893.62","72442.38","0.6687"
"54","WWI 4GB Video Recording Pen X200 Red","Wide World Importers","Recording Pen","Audio","110","328","97088.00","32166.96","64921.04","0.6687"
"55","WWI 4GB Video Recording Pen X200 Pink","Wide World Importers","Recording Pen","Audio","102","304","89984.00","29813.28","60170.72","0.6687"
"56","WWI 4GB Video Recording Pen X200 Yellow","Wide World Importers","Recording Pen","Audio","117","370","109520.00","36285.90","73234.10","0.6687"
"57","WWI 1GB Digital Voice Recorder Pen E100 Black","Wide World Importers","Recording Pen","Audio","138","431","67236.00","34277.43","32958.57","0.4902"
"58","WWI 1GB Digital Voice Recorder Pen E100 Red","Wide World Importers","Recording Pen","Audio","115","388","60528.00","30857.64","29670.36","0.4902"
"59","WWI 1GB Digital Voice Recorder Pen E100 Pink","Wide World Importers","Recording Pen","Audio","92","289","45084.00","22984.17","22099.83","0.4902"
"60","WWI 1GB Digital Voice Recorder Pen E100 White","Wide World Importers","Recording Pen","Audio","111","357","55692.00","28392.21","27299.79","0.4902"
"61","WWI 2GB Spy Video Recorder Pen M300 Black","Wide World Importers","Recording Pen","Audio","109","340","61540.00","28301.60","33238.40","0.5401"
"62","WWI 2GB Spy Video Recorder Pen M300 White","Wide World Importers","Recording Pen","Audio","96","284","51404.00","23640.16","27763.84","0.5401"
"63","WWI 2GB Spy Video Recorder Pen M300 Blue","Wide World Importers","Recording Pen","Audio","90","314","56834.00","26137.36","30696.64","0.5401"
"64","WWI 2GB Spy Video Recorder Pen M300 Silver","Wide World Importers","Recording Pen","Audio","94","324","58644.00","26969.76","31674.24","0.5401"
